date,state,district,type,beds
1/1/2021,Johor,Johor Bahru,all,3042
1/1/2022,Johor,Johor Bahru,all,3042
1/1/2015,Johor,Johor Bahru,hospital_moh,1693
1/1/2016,Johor,Johor Bahru,hospital_moh,1910
1/1/2017,Johor,Johor Bahru,hospital_moh,1910
1/1/2018,Johor,Johor Bahru,hospital_moh,1910
1/1/2019,Johor,Johor Bahru,hospital_moh,1910
1/1/2020,Johor,Johor Bahru,hospital_moh,1910
1/1/2021,Johor,Johor Bahru,hospital_moh,1910
1/1/2022,Johor,Johor Bahru,hospital_moh,1910
1/1/2015,Johor,Johor Bahru,hospital_non_moh,0
1/1/2016,Johor,Johor Bahru,hospital_non_moh,0
1/1/2017,Johor,Johor Bahru,hospital_non_moh,0
1/1/2018,Johor,Johor Bahru,hospital_non_moh,0
1/1/2019,Johor,Johor Bahru,hospital_non_moh,0
1/1/2020,Johor,Johor Bahru,hospital_non_moh,0
1/1/2021,Johor,Johor Bahru,hospital_non_moh,0
1/1/2022,Johor,Johor Bahru,hospital_non_moh,0
1/1/2015,Johor,Johor Bahru,special_medical_institution,1132
1/1/2016,Johor,Johor Bahru,special_medical_institution,1132
1/1/2017,Johor,Johor Bahru,special_medical_institution,1132
1/1/2018,Johor,Johor Bahru,special_medical_institution,1132
1/1/2019,Johor,Johor Bahru,special_medical_institution,1132
1/1/2020,Johor,Johor Bahru,special_medical_institution,1132
1/1/2021,Johor,Johor Bahru,special_medical_institution,1132
1/1/2022,Johor,Johor Bahru,special_medical_institution,1132
1/1/2015,Johor,Kluang,all,268
1/1/2016,Johor,Kluang,all,268
1/1/2017,Johor,Kluang,all,268
1/1/2018,Johor,Kluang,all,268
1/1/2019,Johor,Kluang,all,268
1/1/2020,Johor,Kluang,all,308
1/1/2021,Johor,Kluang,all,308
1/1/2022,Johor,Kluang,all,382
1/1/2015,Johor,Kluang,hospital_moh,268
1/1/2016,Johor,Kluang,hospital_moh,268
1/1/2017,Johor,Kluang,hospital_moh,268
1/1/2018,Johor,Kluang,hospital_moh,268
1/1/2019,Johor,Kluang,hospital_moh,268
1/1/2020,Johor,Kluang,hospital_moh,308
1/1/2021,Johor,Kluang,hospital_moh,308
1/1/2022,Johor,Kluang,hospital_moh,382
1/1/2015,Johor,Kluang,hospital_non_moh,0
1/1/2016,Johor,Kluang,hospital_non_moh,0
1/1/2017,Johor,Kluang,hospital_non_moh,0
1/1/2018,Johor,Kluang,hospital_non_moh,0
1/1/2019,Johor,Kluang,hospital_non_moh,0
1/1/2020,Johor,Kluang,hospital_non_moh,0
1/1/2021,Johor,Kluang,hospital_non_moh,0
1/1/2022,Johor,Kluang,hospital_non_moh,0
1/1/2015,Johor,Kluang,special_medical_institution,0
1/1/2016,Johor,Kluang,special_medical_institution,0
1/1/2017,Johor,Kluang,special_medical_institution,0
1/1/2018,Johor,Kluang,special_medical_institution,0
1/1/2019,Johor,Kluang,special_medical_institution,0
1/1/2020,Johor,Kluang,special_medical_institution,0
1/1/2021,Johor,Kluang,special_medical_institution,0
1/1/2022,Johor,Kluang,special_medical_institution,0
1/1/2015,Johor,Kota Tinggi,all,158
1/1/2016,Johor,Kota Tinggi,all,158
1/1/2017,Johor,Kota Tinggi,all,158
1/1/2018,Johor,Kota Tinggi,all,158
1/1/2019,Johor,Kota Tinggi,all,158
1/1/2020,Johor,Kota Tinggi,all,158
1/1/2021,Johor,Kota Tinggi,all,158
1/1/2022,Johor,Kota Tinggi,all,158
1/1/2015,Johor,Kota Tinggi,hospital_moh,158
1/1/2016,Johor,Kota Tinggi,hospital_moh,158
1/1/2017,Johor,Kota Tinggi,hospital_moh,158
1/1/2018,Johor,Kota Tinggi,hospital_moh,158
1/1/2019,Johor,Kota Tinggi,hospital_moh,158
1/1/2020,Johor,Kota Tinggi,hospital_moh,158
1/1/2021,Johor,Kota Tinggi,hospital_moh,158
1/1/2022,Johor,Kota Tinggi,hospital_moh,158
1/1/2015,Johor,Kota Tinggi,hospital_non_moh,0
1/1/2016,Johor,Kota Tinggi,hospital_non_moh,0
1/1/2017,Johor,Kota Tinggi,hospital_non_moh,0
1/1/2018,Johor,Kota Tinggi,hospital_non_moh,0
1/1/2019,Johor,Kota Tinggi,hospital_non_moh,0
1/1/2020,Johor,Kota Tinggi,hospital_non_moh,0
1/1/2021,Johor,Kota Tinggi,hospital_non_moh,0
1/1/2022,Johor,Kota Tinggi,hospital_non_moh,0
1/1/2015,Johor,Kota Tinggi,special_medical_institution,0
1/1/2016,Johor,Kota Tinggi,special_medical_institution,0
1/1/2017,Johor,Kota Tinggi,special_medical_institution,0
1/1/2018,Johor,Kota Tinggi,special_medical_institution,0
1/1/2019,Johor,Kota Tinggi,special_medical_institution,0
1/1/2020,Johor,Kota Tinggi,special_medical_institution,0
1/1/2021,Johor,Kota Tinggi,special_medical_institution,0
1/1/2022,Johor,Kota Tinggi,special_medical_institution,0
1/1/2015,Johor,Kulaijaya,all,93
1/1/2016,Johor,Kulaijaya,all,93
1/1/2017,Johor,Kulaijaya,all,93
1/1/2018,Johor,Kulaijaya,all,93
1/1/2019,Johor,Kulaijaya,all,93
1/1/2020,Johor,Kulaijaya,all,93
1/1/2021,Johor,Kulaijaya,all,93
1/1/2022,Johor,Kulaijaya,all,93
1/1/2015,Johor,Kulaijaya,hospital_moh,93
1/1/2016,Johor,Kulaijaya,hospital_moh,93
1/1/2017,Johor,Kulaijaya,hospital_moh,93
1/1/2018,Johor,Kulaijaya,hospital_moh,93
1/1/2019,Johor,Kulaijaya,hospital_moh,93
1/1/2020,Johor,Kulaijaya,hospital_moh,93
1/1/2021,Johor,Kulaijaya,hospital_moh,93
1/1/2022,Johor,Kulaijaya,hospital_moh,93
1/1/2015,Johor,Kulaijaya,hospital_non_moh,0
1/1/2016,Johor,Kulaijaya,hospital_non_moh,0
1/1/2017,Johor,Kulaijaya,hospital_non_moh,0
1/1/2018,Johor,Kulaijaya,hospital_non_moh,0
1/1/2019,Johor,Kulaijaya,hospital_non_moh,0
1/1/2020,Johor,Kulaijaya,hospital_non_moh,0
1/1/2021,Johor,Kulaijaya,hospital_non_moh,0
1/1/2022,Johor,Kulaijaya,hospital_non_moh,0
1/1/2015,Johor,Kulaijaya,special_medical_institution,0
1/1/2016,Johor,Kulaijaya,special_medical_institution,0
1/1/2017,Johor,Kulaijaya,special_medical_institution,0
1/1/2018,Johor,Kulaijaya,special_medical_institution,0
1/1/2019,Johor,Kulaijaya,special_medical_institution,0
1/1/2020,Johor,Kulaijaya,special_medical_institution,0
1/1/2021,Johor,Kulaijaya,special_medical_institution,0
1/1/2022,Johor,Kulaijaya,special_medical_institution,0
1/1/2015,Johor,Ledang,all,69
1/1/2016,Johor,Ledang,all,69
1/1/2017,Johor,Ledang,all,69
1/1/2018,Johor,Ledang,all,69
1/1/2019,Johor,Ledang,all,69
1/1/2020,Johor,Ledang,all,69
1/1/2021,Johor,Ledang,all,69
1/1/2022,Johor,Ledang,all,69
1/1/2015,Johor,Ledang,hospital_moh,69
1/1/2016,Johor,Ledang,hospital_moh,69
1/1/2017,Johor,Ledang,hospital_moh,69
1/1/2018,Johor,Ledang,hospital_moh,69
1/1/2019,Johor,Ledang,hospital_moh,69
1/1/2020,Johor,Ledang,hospital_moh,69
1/1/2021,Johor,Ledang,hospital_moh,69
1/1/2022,Johor,Ledang,hospital_moh,69
1/1/2015,Johor,Ledang,hospital_non_moh,0
1/1/2016,Johor,Ledang,hospital_non_moh,0
1/1/2017,Johor,Ledang,hospital_non_moh,0
1/1/2018,Johor,Ledang,hospital_non_moh,0
1/1/2019,Johor,Ledang,hospital_non_moh,0
1/1/2020,Johor,Ledang,hospital_non_moh,0
1/1/2021,Johor,Ledang,hospital_non_moh,0
1/1/2022,Johor,Ledang,hospital_non_moh,0
1/1/2015,Johor,Ledang,special_medical_institution,0
1/1/2016,Johor,Ledang,special_medical_institution,0
1/1/2017,Johor,Ledang,special_medical_institution,0
1/1/2018,Johor,Ledang,special_medical_institution,0
1/1/2019,Johor,Ledang,special_medical_institution,0
1/1/2020,Johor,Ledang,special_medical_institution,0
1/1/2021,Johor,Ledang,special_medical_institution,0
1/1/2022,Johor,Ledang,special_medical_institution,0
1/1/2015,Johor,Mersing,all,55
1/1/2016,Johor,Mersing,all,55
1/1/2017,Johor,Mersing,all,55
1/1/2018,Johor,Mersing,all,70
1/1/2019,Johor,Mersing,all,70
1/1/2020,Johor,Mersing,all,70
1/1/2021,Johor,Mersing,all,70
1/1/2022,Johor,Mersing,all,70
1/1/2015,Johor,Mersing,hospital_moh,55
1/1/2016,Johor,Mersing,hospital_moh,55
1/1/2017,Johor,Mersing,hospital_moh,55
1/1/2018,Johor,Mersing,hospital_moh,70
1/1/2019,Johor,Mersing,hospital_moh,70
1/1/2020,Johor,Mersing,hospital_moh,70
1/1/2021,Johor,Mersing,hospital_moh,70
1/1/2022,Johor,Mersing,hospital_moh,70
1/1/2015,Johor,Mersing,hospital_non_moh,0
1/1/2016,Johor,Mersing,hospital_non_moh,0
1/1/2017,Johor,Mersing,hospital_non_moh,0
1/1/2018,Johor,Mersing,hospital_non_moh,0
1/1/2019,Johor,Mersing,hospital_non_moh,0
1/1/2020,Johor,Mersing,hospital_non_moh,0
1/1/2021,Johor,Mersing,hospital_non_moh,0
1/1/2022,Johor,Mersing,hospital_non_moh,0
1/1/2015,Johor,Mersing,special_medical_institution,0
1/1/2016,Johor,Mersing,special_medical_institution,0
1/1/2017,Johor,Mersing,special_medical_institution,0
1/1/2018,Johor,Mersing,special_medical_institution,0
1/1/2019,Johor,Mersing,special_medical_institution,0
1/1/2020,Johor,Mersing,special_medical_institution,0
1/1/2021,Johor,Mersing,special_medical_institution,0
1/1/2022,Johor,Mersing,special_medical_institution,0
1/1/2015,Johor,Muar,all,550
1/1/2016,Johor,Muar,all,550
1/1/2017,Johor,Muar,all,550
1/1/2018,Johor,Muar,all,550
1/1/2019,Johor,Muar,all,550
1/1/2020,Johor,Muar,all,550
1/1/2021,Johor,Muar,all,550
1/1/2022,Johor,Muar,all,575
1/1/2015,Johor,Muar,hospital_moh,550
1/1/2016,Johor,Muar,hospital_moh,550
1/1/2017,Johor,Muar,hospital_moh,550
1/1/2018,Johor,Muar,hospital_moh,550
1/1/2019,Johor,Muar,hospital_moh,550
1/1/2020,Johor,Muar,hospital_moh,550
1/1/2021,Johor,Muar,hospital_moh,550
1/1/2022,Johor,Muar,hospital_moh,575
1/1/2015,Johor,Muar,hospital_non_moh,0
1/1/2016,Johor,Muar,hospital_non_moh,0
1/1/2017,Johor,Muar,hospital_non_moh,0
1/1/2018,Johor,Muar,hospital_non_moh,0
1/1/2019,Johor,Muar,hospital_non_moh,0
1/1/2020,Johor,Muar,hospital_non_moh,0
1/1/2021,Johor,Muar,hospital_non_moh,0
1/1/2022,Johor,Muar,hospital_non_moh,0
1/1/2015,Johor,Muar,special_medical_institution,0
1/1/2016,Johor,Muar,special_medical_institution,0
1/1/2017,Johor,Muar,special_medical_institution,0
1/1/2018,Johor,Muar,special_medical_institution,0
1/1/2019,Johor,Muar,special_medical_institution,0
1/1/2020,Johor,Muar,special_medical_institution,0
1/1/2021,Johor,Muar,special_medical_institution,0
1/1/2022,Johor,Muar,special_medical_institution,0
1/1/2015,Johor,Pontian,all,120
1/1/2016,Johor,Pontian,all,120
1/1/2017,Johor,Pontian,all,120
1/1/2018,Johor,Pontian,all,120
1/1/2019,Johor,Pontian,all,120
1/1/2020,Johor,Pontian,all,120
1/1/2021,Johor,Pontian,all,120
1/1/2022,Johor,Pontian,all,120
1/1/2015,Johor,Pontian,hospital_moh,120
1/1/2016,Johor,Pontian,hospital_moh,120
1/1/2017,Johor,Pontian,hospital_moh,120
1/1/2018,Johor,Pontian,hospital_moh,120
1/1/2019,Johor,Pontian,hospital_moh,120
1/1/2020,Johor,Pontian,hospital_moh,120
1/1/2021,Johor,Pontian,hospital_moh,120
1/1/2022,Johor,Pontian,hospital_moh,120
1/1/2015,Johor,Pontian,hospital_non_moh,0
1/1/2016,Johor,Pontian,hospital_non_moh,0
1/1/2017,Johor,Pontian,hospital_non_moh,0
1/1/2018,Johor,Pontian,hospital_non_moh,0
1/1/2019,Johor,Pontian,hospital_non_moh,0
1/1/2020,Johor,Pontian,hospital_non_moh,0
1/1/2021,Johor,Pontian,hospital_non_moh,0
1/1/2022,Johor,Pontian,hospital_non_moh,0
1/1/2015,Johor,Pontian,special_medical_institution,0
1/1/2016,Johor,Pontian,special_medical_institution,0
1/1/2017,Johor,Pontian,special_medical_institution,0
1/1/2018,Johor,Pontian,special_medical_institution,0
1/1/2019,Johor,Pontian,special_medical_institution,0
1/1/2020,Johor,Pontian,special_medical_institution,0
1/1/2021,Johor,Pontian,special_medical_institution,0
1/1/2022,Johor,Pontian,special_medical_institution,0
1/1/2015,Johor,Segamat,all,314
1/1/2016,Johor,Segamat,all,314
1/1/2017,Johor,Segamat,all,314
1/1/2018,Johor,Segamat,all,314
1/1/2019,Johor,Segamat,all,314
1/1/2020,Johor,Segamat,all,314
1/1/2021,Johor,Segamat,all,314
1/1/2022,Johor,Segamat,all,314
1/1/2015,Johor,Segamat,hospital_moh,314
1/1/2016,Johor,Segamat,hospital_moh,314
1/1/2017,Johor,Segamat,hospital_moh,314
1/1/2018,Johor,Segamat,hospital_moh,314
1/1/2019,Johor,Segamat,hospital_moh,314
1/1/2020,Johor,Segamat,hospital_moh,314
1/1/2021,Johor,Segamat,hospital_moh,314
1/1/2022,Johor,Segamat,hospital_moh,314
1/1/2015,Johor,Segamat,hospital_non_moh,0
1/1/2016,Johor,Segamat,hospital_non_moh,0
1/1/2017,Johor,Segamat,hospital_non_moh,0
1/1/2018,Johor,Segamat,hospital_non_moh,0
1/1/2019,Johor,Segamat,hospital_non_moh,0
1/1/2020,Johor,Segamat,hospital_non_moh,0
1/1/2021,Johor,Segamat,hospital_non_moh,0
1/1/2022,Johor,Segamat,hospital_non_moh,0
1/1/2015,Johor,Segamat,special_medical_institution,0
1/1/2016,Johor,Segamat,special_medical_institution,0
1/1/2017,Johor,Segamat,special_medical_institution,0
1/1/2018,Johor,Segamat,special_medical_institution,0
1/1/2019,Johor,Segamat,special_medical_institution,0
1/1/2020,Johor,Segamat,special_medical_institution,0
1/1/2021,Johor,Segamat,special_medical_institution,0
1/1/2022,Johor,Segamat,special_medical_institution,0
1/1/2015,Kedah,All Districts,all,2653
1/1/2016,Kedah,All Districts,all,2689
1/1/2017,Kedah,All Districts,all,2703
1/1/2018,Kedah,All Districts,all,2673
1/1/2019,Kedah,All Districts,all,2711
1/1/2020,Kedah,All Districts,all,2702
1/1/2021,Kedah,All Districts,all,2755
1/1/2022,Kedah,All Districts,all,2762
1/1/2015,Kedah,All Districts,hospital_moh,2653
1/1/2016,Kedah,All Districts,hospital_moh,2689
1/1/2017,Kedah,All Districts,hospital_moh,2703
1/1/2018,Kedah,All Districts,hospital_moh,2673
1/1/2019,Kedah,All Districts,hospital_moh,2711
1/1/2020,Kedah,All Districts,hospital_moh,2702
1/1/2021,Kedah,All Districts,hospital_moh,2755
1/1/2022,Kedah,All Districts,hospital_moh,2762
1/1/2015,Kedah,All Districts,hospital_non_moh,0
1/1/2016,Kedah,All Districts,hospital_non_moh,0
1/1/2017,Kedah,All Districts,hospital_non_moh,0
1/1/2018,Kedah,All Districts,hospital_non_moh,0
1/1/2019,Kedah,All Districts,hospital_non_moh,0
1/1/2020,Kedah,All Districts,hospital_non_moh,0
1/1/2021,Kedah,All Districts,hospital_non_moh,0
1/1/2022,Kedah,All Districts,hospital_non_moh,0
1/1/2015,Kedah,All Districts,special_medical_institution,0
1/1/2016,Kedah,All Districts,special_medical_institution,0
1/1/2017,Kedah,All Districts,special_medical_institution,0
1/1/2018,Kedah,All Districts,special_medical_institution,0
1/1/2019,Kedah,All Districts,special_medical_institution,0
1/1/2020,Kedah,All Districts,special_medical_institution,0
1/1/2021,Kedah,All Districts,special_medical_institution,0
1/1/2022,Kedah,All Districts,special_medical_institution,0
1/1/2015,Kedah,Baling,all,160
1/1/2016,Kedah,Baling,all,160
1/1/2017,Kedah,Baling,all,160
1/1/2018,Kedah,Baling,all,115
1/1/2019,Kedah,Baling,all,115
1/1/2020,Kedah,Baling,all,115
1/1/2021,Kedah,Baling,all,115
1/1/2022,Kedah,Baling,all,115
1/1/2015,Kedah,Baling,hospital_moh,160
1/1/2016,Kedah,Baling,hospital_moh,160
1/1/2017,Kedah,Baling,hospital_moh,160
1/1/2018,Kedah,Baling,hospital_moh,115
1/1/2019,Kedah,Baling,hospital_moh,115
1/1/2020,Kedah,Baling,hospital_moh,115
1/1/2021,Kedah,Baling,hospital_moh,115
1/1/2022,Kedah,Baling,hospital_moh,115
1/1/2015,Kedah,Baling,hospital_non_moh,0
1/1/2016,Kedah,Baling,hospital_non_moh,0
1/1/2017,Kedah,Baling,hospital_non_moh,0
1/1/2018,Kedah,Baling,hospital_non_moh,0
1/1/2019,Kedah,Baling,hospital_non_moh,0
1/1/2020,Kedah,Baling,hospital_non_moh,0
1/1/2021,Kedah,Baling,hospital_non_moh,0
1/1/2022,Kedah,Baling,hospital_non_moh,0
1/1/2015,Kedah,Baling,special_medical_institution,0
1/1/2016,Kedah,Baling,special_medical_institution,0
1/1/2017,Kedah,Baling,special_medical_institution,0
1/1/2018,Kedah,Baling,special_medical_institution,0
1/1/2019,Kedah,Baling,special_medical_institution,0
1/1/2020,Kedah,Baling,special_medical_institution,0
1/1/2021,Kedah,Baling,special_medical_institution,0
1/1/2022,Kedah,Baling,special_medical_institution,0
1/1/2015,Kedah,Bandar Baharu,all,0
1/1/2016,Kedah,Bandar Baharu,all,0
1/1/2017,Kedah,Bandar Baharu,all,0
1/1/2018,Kedah,Bandar Baharu,all,0
1/1/2019,Kedah,Bandar Baharu,all,0
1/1/2020,Kedah,Bandar Baharu,all,0
1/1/2021,Kedah,Bandar Baharu,all,0
1/1/2022,Kedah,Bandar Baharu,all,0
1/1/2015,Kedah,Bandar Baharu,hospital_moh,0
1/1/2016,Kedah,Bandar Baharu,hospital_moh,0
1/1/2017,Kedah,Bandar Baharu,hospital_moh,0
1/1/2018,Kedah,Bandar Baharu,hospital_moh,0
1/1/2019,Kedah,Bandar Baharu,hospital_moh,0
1/1/2020,Kedah,Bandar Baharu,hospital_moh,0
1/1/2021,Kedah,Bandar Baharu,hospital_moh,0
1/1/2022,Kedah,Bandar Baharu,hospital_moh,0
1/1/2015,Kedah,Bandar Baharu,hospital_non_moh,0
1/1/2016,Kedah,Bandar Baharu,hospital_non_moh,0
1/1/2017,Kedah,Bandar Baharu,hospital_non_moh,0
1/1/2018,Kedah,Bandar Baharu,hospital_non_moh,0
1/1/2019,Kedah,Bandar Baharu,hospital_non_moh,0
1/1/2020,Kedah,Bandar Baharu,hospital_non_moh,0
1/1/2021,Kedah,Bandar Baharu,hospital_non_moh,0
1/1/2022,Kedah,Bandar Baharu,hospital_non_moh,0
1/1/2015,Kedah,Bandar Baharu,special_medical_institution,0
1/1/2016,Kedah,Bandar Baharu,special_medical_institution,0
1/1/2017,Kedah,Bandar Baharu,special_medical_institution,0
1/1/2018,Kedah,Bandar Baharu,special_medical_institution,0
1/1/2019,Kedah,Bandar Baharu,special_medical_institution,0
1/1/2020,Kedah,Bandar Baharu,special_medical_institution,0
1/1/2021,Kedah,Bandar Baharu,special_medical_institution,0
1/1/2022,Kedah,Bandar Baharu,special_medical_institution,0
1/1/2015,Kedah,Kota Setar,all,1084
1/1/2016,Kedah,Kota Setar,all,1084
1/1/2017,Kedah,Kota Setar,all,1081
1/1/2018,Kedah,Kota Setar,all,1108
1/1/2019,Kedah,Kota Setar,all,1108
1/1/2020,Kedah,Kota Setar,all,1108
1/1/2021,Kedah,Kota Setar,all,1108
1/1/2022,Kedah,Kota Setar,all,1108
1/1/2015,Kedah,Kota Setar,hospital_moh,1084
1/1/2016,Kedah,Kota Setar,hospital_moh,1084
1/1/2017,Kedah,Kota Setar,hospital_moh,1081
1/1/2018,Kedah,Kota Setar,hospital_moh,1108
1/1/2019,Kedah,Kota Setar,hospital_moh,1108
1/1/2020,Kedah,Kota Setar,hospital_moh,1108
1/1/2021,Kedah,Kota Setar,hospital_moh,1108
1/1/2022,Kedah,Kota Setar,hospital_moh,1108
1/1/2015,Kedah,Kota Setar,hospital_non_moh,0
1/1/2016,Kedah,Kota Setar,hospital_non_moh,0
1/1/2017,Kedah,Kota Setar,hospital_non_moh,0
1/1/2018,Kedah,Kota Setar,hospital_non_moh,0
1/1/2019,Kedah,Kota Setar,hospital_non_moh,0
1/1/2020,Kedah,Kota Setar,hospital_non_moh,0
1/1/2021,Kedah,Kota Setar,hospital_non_moh,0
1/1/2022,Kedah,Kota Setar,hospital_non_moh,0
1/1/2015,Kedah,Kota Setar,special_medical_institution,0
1/1/2016,Kedah,Kota Setar,special_medical_institution,0
1/1/2017,Kedah,Kota Setar,special_medical_institution,0
1/1/2018,Kedah,Kota Setar,special_medical_institution,0
1/1/2019,Kedah,Kota Setar,special_medical_institution,0
1/1/2020,Kedah,Kota Setar,special_medical_institution,0
1/1/2021,Kedah,Kota Setar,special_medical_institution,0
1/1/2022,Kedah,Kota Setar,special_medical_institution,0
1/1/2015,Kedah,Kuala Muda,all,628
1/1/2016,Kedah,Kuala Muda,all,628
1/1/2017,Kedah,Kuala Muda,all,628
1/1/2018,Kedah,Kuala Muda,all,628
1/1/2019,Kedah,Kuala Muda,all,696
1/1/2020,Kedah,Kuala Muda,all,696
1/1/2021,Kedah,Kuala Muda,all,696
1/1/2022,Kedah,Kuala Muda,all,703
1/1/2015,Kedah,Kuala Muda,hospital_moh,628
1/1/2016,Kedah,Kuala Muda,hospital_moh,628
1/1/2017,Kedah,Kuala Muda,hospital_moh,628
1/1/2018,Kedah,Kuala Muda,hospital_moh,628
1/1/2019,Kedah,Kuala Muda,hospital_moh,696
1/1/2020,Kedah,Kuala Muda,hospital_moh,696
1/1/2021,Kedah,Kuala Muda,hospital_moh,696
1/1/2022,Kedah,Kuala Muda,hospital_moh,703
1/1/2015,Kedah,Kuala Muda,hospital_non_moh,0
1/1/2016,Kedah,Kuala Muda,hospital_non_moh,0
1/1/2017,Kedah,Kuala Muda,hospital_non_moh,0
1/1/2018,Kedah,Kuala Muda,hospital_non_moh,0
1/1/2019,Kedah,Kuala Muda,hospital_non_moh,0
1/1/2020,Kedah,Kuala Muda,hospital_non_moh,0
1/1/2021,Kedah,Kuala Muda,hospital_non_moh,0
1/1/2022,Kedah,Kuala Muda,hospital_non_moh,0
