State,No.,Facility Name,Full Address,Phone Number,District
Johor,19,KD Bekoh Belading,"KD Bekoh Belading, Tangkak, Ledang, 84900, Tangkak, Johor",06-5235670,Tangkak
Johor,20,KD Belemam,"KD Belemam, Kampung Pariit Belemam, 83010, Batu Pahat, Johor",07-4153346,Batu Pahat
Johor,21,KD Belemang,"KD Belemang, Serom, Sungai Mati, 84410, Tangkak, Johor",06-9751925,Tangkak
Johor,22,KD Beroleh,"KD Beroleh, Kg. Beroleh Sungai Gading, 83000, Batu Pahat, Johor",07-4349434,Batu Pahat
Johor,23,KD Bindu,"KD Bindu,  Kg. Bindu, Tongkang Pecah, 83010, Batu Pahat, Johor",07-4153348,Batu Pahat
Johor,24,KD Bukit Batu,"KD Bukit Batu, Macap, Simpang Renggam, Kluang, 86200 Johor, 86200, Kluang, Johor","019-7442144 / 
019-7823136",Kluang
Johor,25,KD Bukit Kangkar,"KD Bukit Kangkar, Bt 19 1/2 Jalan Muar 84400 Sungai Mati, 84400, Tangkak, Johor",06-9755303,Tangkak
Johor,26,KD Bukit Kepong,"KD Bukit Kepong, JKR 1079 Pekan Bukit Kepong, 84600, Muar, Johor",06-9719541,Muar
Johor,27,KD Bukit Mor,"KD Bukit Mor, JKR 111, Jln Mahmood Bukit Mor Parit Jawa, 84150, Muar, Johor",06-9872920,Muar
Johor,28,KD Bukit Ramun (Felda),"KD Bukit Ramun (Felda), Felda Bukit Ramun, 81900, Kota Tinggi, Johor",07-8978914,Kota Tinggi
Johor,29,KD Chamek,"KD Chamek, 86000 Kluang, Johor, 86000, Kluang, Johor",07-7813933,Kluang
Johor,30,KD Felcra Batu 4 1/2 Paloh,"KD Felcra Batu 4 1/2 Paloh,  Kluang, 86000, Kluang, Johor",07-7816333,Kluang
Johor,31,KD Felcra Bukit Kepong,"KD Felcra Bukit Kepong, Felcra Bukit Kepong, 84040, Muar, Johor",06-9237102,Muar
Johor,32,KD Felda Air Hitam,"KD Felda Air Hitam, 86000 Kluang, Johor, 86000, Kluang, Johor",07-7765343,Kluang
Johor,33,KD Felda Bukit Batu,"KD Felda Bukit Batu, JKR 3736, Jalan Klinik, Kulai, 81020, Kulai, Johor","07-6511835 / 
07-6540514",Kulai
Johor,34,KD Felda Bukit Permai,"KD Felda Bukit Permai, Jalan Sekolah Kulai, 81000, Kulai, Johor",07-7511592,Kulai
Johor,35,KD Felda Chempelak,"KD Felda Chempelak, Felda Chempelak, Labis, 85300, Segamat, Johor",07-9237118,Segamat
Johor,36,KD Felda Endau,"KD Felda Endau, Mersing, 86800, Mersing, Johor",07-7944353,Mersing
Johor,37,KD Felda Inas,"KD Felda Inas, Jalan Titiwangsa Kulai, 81000, Kulai, Johor",07-8964011,Kulai
Johor,38,KD Felda Kahang Barat,"KD Felda Kahang Barat, Kahang Barat, Kluang, 86007, Kluang, Johor",07-7867311,Kluang
Johor,39,KD Felda Kemelah,"KD Felda Kemelah, Felda Kemelah, Labis, 85300, Segamat, Johor",07-9451637,Segamat
Johor,40,KD Felda Layang-Layang,"KD Felda Layang-Layang, Jalan Terkukur, Felda Layang-layang, 86200 Simpang Renggam, 86200, Kluang, Johor",07-7552133,Kluang
Johor,41,KD Felda Medoi,"KD Felda Medoi, Felda Medoi, Segamat, 85000, Segamat, Johor",07-9320973,Segamat
Johor,42,KD Felda Redong,"KD Felda Redong, Felda Redong, Labis, 85300, Segamat, Johor",07-9291733,Segamat
Johor,43,KD Felda Sri Jaya (Felda),"KD Felda Sri Jaya (Felda), Jementah, Ledang, 85220, Tangkak, Johor",06-9776899,Tangkak
Johor,44,KD Gelang Cincin,"KD Gelang Cincin, Kampung Gelang Cincin, 85000, Segamat, Johor",07-9325770,Segamat
Johor,45,KD Gemas Baru,"KD Gemas Baru, Gemas Baru, Batu Anam, 85100, Segamat, Johor",07-9485080,Segamat
Johor,46,KD Gembut,"KD Gembut, Jalan Tanjung Sedili, 81900, Kota Tinggi, Johor",07-8918160,Kota Tinggi
Johor,47,KD Gemerah,"KD Gemerah, Jalan Muar, 85200, Segamat, Johor",07-9320970,Segamat
Johor,48,KD Jeram Tepi,"KD Jeram Tepi, JKR 1077 Jalan Simpang Jeram Muar, 84200, Muar, Johor",06-9864286,Muar
Johor,49,KD Jorak,"KD Jorak, Kg Jorak, 84300, Muar, Johor",06-9858207,Muar
Johor,50,KD Kahang Batu 28,"KD Kahang Batu 28, 86000 Kluang, Johor, 86000, Kluang, Johor",07-7882433,Kluang
Johor,51,KD Kampung Awat,"KD Kampung Awat, Kampung Awat, Batu Anam, 85100, Segamat, Johor",07-9363481,Segamat
Johor,52,KD Kampung Bahagia,"KD Kampung Bahagia, Jalan Mawar Kg Bahagia, 81000, Kulai, Johor",07-6540514,Kulai
Johor,53,KD Kampung Baru,"KD Kampung Baru, Kg Baru Parit Yaani, 83000, Batu Pahat, Johor",07-4847417,Batu Pahat
Johor,54,KD Kampung Baru,"KD Kampung Baru, Jln Kg Baru Kukup, 82300, Pontian, Johor",07-6961939,Pontian
Johor,55,KD Kampung Bukit Batu,"KD Kampung Bukit Batu, Batu 28 Jalan Air Hitam, 81000, Kulai, Johor",07-6511835,Kulai
Johor,56,KD Kampung Gajah,"KD Kampung Gajah, 86007 Kluang, Johor, 86007, Kluang, Johor",07-7878233,Kluang
Johor,57,KD Kampung Hubong,"KD Kampung Hubong, 663 Jln Kg Hubong, 86900, Mersing, Johor",07-7944033,Mersing
Johor,58,KD Kampung Ibrahim Majid,"KD Kampung Ibrahim Majid, 86200 Simpang Renggam, Kluang, Johor, 86200, Kluang, Johor",07-7552733,Kluang
Johor,59,KD Kampung Jabi,"KD Kampung Jabi, Jalan Buluh Kasap, 85000, Segamat, Johor",07-9325760,Segamat
Johor,60,KD Kampung Jawa,"KD Kampung Jawa, Jalan Medoi, 85000, Segamat, Johor",07-9320975,Segamat
Johor,61,KD Kampung Linting,"KD Kampung Linting, Kampung Linting, 81900, Kota Tinggi, Johor",019-7689358,Kota Tinggi
Johor,62,KD Kampung Parit Haji Hashim,"KD Kampung Parit Haji Hashim, Kampung Parit Haji Hashim, 86200 Kluang, Johor, 86200, Kluang, Johor",07-7552533,Kluang
Johor,63,KD Kampung Paya,"KD Kampung Paya, Jalan Kg Paya, 86000, Kluang, Johor",07-7721852,Kluang
Johor,64,KD Kampung Pogoh,"KD Kampung Pogoh, Kampung Pogoh, 85000, Segamat, Johor",07-9320744,Segamat
Johor,65,KD Kampung Pulai,"KD Kampung Pulai, Kg Pulai, 81550, Johor Bahru, Johor",07-5103605,Johor Bahru
Johor,66,KD Kampung Raja,"KD Kampung Raja, JKR 1661 Kg Raja Pagoh, 84600, Muar, Johor",06-9748555,Muar
Johor,67,KD Kampung Sagil,"KD Kampung Sagil, Sagil, 84020, Tangkak, Johor",06-9773897,Tangkak
Johor,68,KD Kampung Sawah,"KD Kampung Sawah, Jalan Sawah Pekan Nanas, 81500, Pontian, Johor",07-6992820,Pontian
Johor,69,KD Kampung Semasih,"KD Kampung Semasih, JKR 2569 Kg Semasih Panchor Muar, 84500, Muar, Johor",06-9737364,Muar
Johor,70,KD Kampung Tengah,"KD Kampung Tengah, Jalan Sekolah, 86000, Kluang, Johor",07-7725133,Kluang
Johor,71,KD Kampung Tengah,"KD Kampung Tengah, Kg. Tengah, 85000, Segamat, Johor",07-9326700,Segamat
Johor,72,KD Kampung Tengah Renggam,"KD Kampung Tengah Renggam, 86300 Renggam, Kluang, Johor, 86300, Kluang, Johor",07-7536833,Kluang
Johor,73,KD Kampung Teratai,"KD Kampung Teratai, Jementah, 85200, Tangkak, Johor",06-9776750,Tangkak
Johor,74,KD Kampung Tui,"KD Kampung Tui, JKR 1080 Bukit Kepong, 84600, Muar, Johor",06-9710559,Muar
Johor,75,KD Kangkar Baru,"KD Kangkar Baru, Kg. Kangkar Baru, Yong Peng, 83700, Batu Pahat, Johor",07-4811911,Batu Pahat
Johor,76,KD Kangkar Pulai,"KD Kangkar Pulai, JKR 6266, Kangkar Pulai, 81110, Johor Bahru, Johor",07-5273099,Johor Bahru
Johor,77,KD Kangkar Senangar,"KD Kangkar Senangar, Kg. Kangkar Senanggar, Parit Sulong, 83500, Batu Pahat, Johor",07-4185386,Batu Pahat
Johor,78,KD Kangkar Tebrau,"KD Kangkar Tebrau, JKR 5496, Jln Kangkar Tebrau, 81100, Johor Bahru, Johor",07-3548543,Johor Bahru
Johor,79,KD Kebun Baru,"KD Kebun Baru, Sagil, Ledang, 84020, Tangkak, Johor",07-9474267,Tangkak
Johor,80,KD Kempas Baru,"KD Kempas Baru, JKR 5853, Jalan Lurah 2, Kempas Baru, 81200, Johor Bahru, Johor",07-2356414,Johor Bahru
Johor,81,KD Kereta Lembu,"KD Kereta Lembu, JKR 1117 Jln Dato Haji Kosai, 84000, Muar, Johor",06-9812946,Muar
Johor,82,KD Kesang,"KD Kesang, Bt 7, Kesang, 84900 Ledang, 84900, Tangkak, Johor",06-2658709,Tangkak
Johor,83,KD Kong Kong Laut,"KD Kong Kong Laut, JKR 4641, Jln Kong Kong Laut, Kg Kong Kong Laut, Masai, 81750, Johor Bahru, Johor",07-2526856,Johor Bahru
Johor,84,KD Kuala Paya,"KD Kuala Paya, Kg. Kuala Paya, Buluh Kasap, 85010, Segamat, Johor",07-9443860,Segamat
Johor,85,KD Kuala Sedili Kecil,"KD Kuala Sedili Kecil, Kg. Sedili Kecil, 81900, Kota Tinggi, Johor",07-8918801,Kota Tinggi
Johor,86,KD Kukup Laut,"KD Kukup Laut, Jalan Kukup Pontian, 82030, Pontian, Johor",07-6969370,Pontian
Johor,87,KD Kundang Ulu,"KD Kundang Ulu, Gersik, Ledang, 84710, Tangkak, Johor",06-9727376,Tangkak
Johor,88,KD Liang Batu,"KD Liang Batu, JKR 1316 Kg Liang Batu Pagoh, 84600, Muar, Johor",06-9712417,Muar
Johor,89,KD Lima Kedai,"KD Lima Kedai, 3773, Jalan Bahagia 1, Lima Kedai, Gelang Patah, 81120, Johor Bahru, Johor",07-5104505,Johor Bahru
Johor,90,KD Linau Kecil,"KD Linau Kecil, Kg.Linau Kecil, 83050, Batu Pahat, Johor",07-4340270,Batu Pahat
Johor,91,KD Linggiu (Felda),"KD Linggiu (Felda), Felda Linggui, 81900, Kota Tinggi, Johor",07-8904248,Kota Tinggi
Johor,92,KD Lubok Bandan,"KD Lubok Bandan, Jalan Muar, Jementah, 85200, Segamat, Johor",07-9474354,Segamat
Johor,93,KD Macap,"KD Macap, JKR 1034, Kampung Macap Sri Macap, 86200 Kluang, 86200, Kluang, Johor",07-7541233,Kluang
Johor,94,KD Maju Jaya,"KD Maju Jaya, JKR 4798, Kg Maju Jaya, 81300, Johor Bahru, Johor",07-5542850,Johor Bahru
Johor,95,KD Mawai Baru,"KD Mawai Baru, Jalan Tanjung Sedili, 81900, Kota Tinggi, Johor",07-8911930,Kota Tinggi
Johor,96,KD Melayu Raya,"KD Melayu Raya, Jln Melayu Raya Pekan Nanas, Pontian, 81500, Pontian, Johor",07-6994472,Pontian
Johor,97,KD Melayu Raya,"KD Melayu Raya, Kampung Melayu Raya, 85000, Segamat, Johor",07-9435901,Segamat
Johor,98,KD Minyak Beku,"KD Minyak Beku, Kg. Minyak Beku, Batu Pahat, 83030, Batu Pahat, Johor",07-4288260,Batu Pahat
Johor,99,KD Moakil,"KD Moakil, Felda Moakil, Chaah, 85400, Segamat, Johor",07-9191758,Segamat
Johor,100,KD Nitar 2 (Felda),"KD Nitar 2 (Felda), Mersing, 86800, Mersing, Johor",07-7691733,Mersing
Johor,101,KD Nyior,"KD Nyior, 86000 Kluang, Johor, 86000, Kluang, Johor",07-7431033,Kluang
Johor,102,KD Panchor,"KD Panchor, JKR 1315 Jalan Abdullah, Panchor, 84500, Muar, Johor",06-9737362,Muar
Johor,103,KD Panjang Sari,"KD Panjang Sari, Kg Panjang Sari, Pagoh, 84600, Muar, Johor",06-9747237,Muar
Johor,104,KD Pantai Layang,"KD Pantai Layang, Sungai Mati, Ledang, 84400, Tangkak, Johor",06-9755052,Tangkak
Johor,105,KD Parit  Keroma,"KD Parit  Keroma, JKR 2607 Kg Pt Keroma, Jln Abd Rahman, 84000, Muar, Johor",06-9513346,Muar
Johor,106,KD Parit 1 Sanglang,"KD Parit 1 Sanglang, Jln Pt. Satu Sanglang Ayer Baloi, Pontian, 82100, Pontian, Johor",07-6937100,Pontian
Johor,107,KD Parit Abdul Rahman,"KD Parit Abdul Rahman, Kg. Parit Abdul Rahman, Mukim 4 Simpang Kiri, 83500, Batu Pahat, Johor",07-4185393,Batu Pahat
Johor,108,KD Parit Amil,"KD Parit Amil, Kampong Parit Amil, 83740, Batu Pahat, Johor",07-4847537,Batu Pahat
Johor,109,KD Parit Bakar Darat,"KD Parit Bakar Darat, JKR 1071 Kg Pt Bakar Darat, 84000, Muar, Johor",06-9812948,Muar
Johor,110,KD Parit Baru,"KD Parit Baru, JKR 2184  Kg Pt Baru Jln Pt Yusof, 84060, Muar, Johor",07-4211021,Muar
Johor,111,KD Parit Basri,"KD Parit Basri, Kg Parit Basri, Sri Medan, 83000, Batu Pahat, Johor",07-4859969,Batu Pahat
Johor,112,KD Parit Betaling,"KD Parit Betaling, Kampung Betaling, Sri Medan, 83000, Batu Pahat, Johor",07-4511530,Batu Pahat
Johor,113,KD Parit Bilal,"KD Parit Bilal, Kg Parit Bilal, 83000, Batu Pahat, Johor",07-4349353,Batu Pahat
Johor,114,KD Parit Bulat Darat,"KD Parit Bulat Darat, Jalan Yusof Muar, 83600, Muar, Johor",07-4213104,Muar
Johor,115,KD Parit Bulat Lintang,"KD Parit Bulat Lintang, JKR 2729 Kg Pt Bulat lintang Sri Menanti, 84160, Muar, Johor",06-9882967,Muar
Johor,116,KD Parit Gantong,"KD Parit Gantong, Kg Parit Gantong, 83500, Batu Pahat, Johor",07-4185387,Batu Pahat
Johor,117,KD Parit Haji Abdul Rahman,"KD Parit Haji Abdul Rahman, Jln Bat Pahat Benut, Pontian, 82200, Pontian, Johor",07-4140062,Pontian
Johor,118,KD Parit Haji Ariff,"KD Parit Haji Ariff, Jln Pt Hj. Arif, Benut Pontian, 82200, Pontian, Johor",07-4253101,Pontian
Johor,119,KD Parit Haji Omar,"KD Parit Haji Omar, Jln Api-Api Pontian, 82010, Pontian, Johor",07-6951648,Pontian
Johor,120,KD Parit Haji Salam,"KD Parit Haji Salam, Kg. Parit Salam, 83000, Batu Pahat, Johor",07-4130125,Batu Pahat
Johor,121,KD Parit Hylam,"KD Parit Hylam, Kg Parit Hylam, 83200, Batu Pahat, Johor",07-4293876,Batu Pahat
Johor,122,KD Parit Ismail,"KD Parit Ismail, Jalan Pt Ismail Benut Pontian, 82200, Pontian, Johor",07-6901280,Pontian
Johor,123,KD Parit Jelutong,"KD Parit Jelutong, Kampong Parit Jelutong, 86400, Batu Pahat, Johor",07-4544713,Batu Pahat
Johor,124,KD Parit Kader,"KD Parit Kader, Kampong Parit Kadir, 83200, Batu Pahat, Johor",07-4277644,Batu Pahat
Johor,125,KD Parit Kahar,"KD Parit Kahar, Jln Pt. Kahar Ayer Baloi Pontian, 82100, Pontian, Johor",07-6931652,Pontian
Johor,126,KD Parit Kasih,"KD Parit Kasih, kampung Parit Kasih, 83200, Batu Pahat, Johor",07-4293920,Batu Pahat
Johor,127,KD Parit Kassim Laut,"KD Parit Kassim Laut, JKR 2767 Kg Pt. Lt. Jalan Abd Rahman, 84150, Muar, Johor",06-9872843,Muar
Johor,128,KD Parit Kemang,"KD Parit Kemang, Kampung Parit Kemang, Senggarang, 83200, Batu Pahat, Johor",07-4277653,Batu Pahat
Johor,129,KD Parit Kuda,"KD Parit Kuda, Jalan Muar Kampung Parit Kuda, 83600, Batu Pahat, Johor",07-4163902,Batu Pahat
Johor,130,KD Parit Lapis Sayang,"KD Parit Lapis Sayang, Jln Pt. Lapis Sayang Benut, Pontian, 82200, Pontian, Johor",07-6981976,Pontian
Johor,131,KD Parit Lapis Sempadan,"KD Parit Lapis Sempadan, Kg. Parit Lapis Sempadan, Parit Raja, 83000, Batu Pahat, Johor",07-4277646,Batu Pahat
Johor,132,KD Parit Latiff,"KD Parit Latiff, JKR 2870 Kg Pt Latif, Pt usof, 83500, Muar, Johor",07-4211209,Muar
Johor,133,KD Parit Lubuk,"KD Parit Lubuk, Kg. Parit Lubuk, 83600, Batu Pahat, Johor",07-4163903,Batu Pahat
Johor,134,KD Parit Maimon,"KD Parit Maimon, Kg. Parit Maimon, Parit Sulong, 83500, Batu Pahat, Johor",07-4101685,Batu Pahat
Johor,135,KD Parit Marjunid,"KD Parit Marjunid, Jln Parit Marjinid Pontian, 82000, Pontian, Johor",07-6901239,Pontian
Johor,136,KD Parit Mesjid,"KD Parit Mesjid, Jln Pt Mesjid Pontian, 82000, Pontian, Johor",07-6879050,Pontian
Johor,137,KD Parit Nibong,"KD Parit Nibong, Kg Parit Nibong, Semerah, 83600, Batu Pahat, Johor",07-4163937,Batu Pahat
Johor,138,KD Parit Nipah,"KD Parit Nipah, Kg. Parit Nipah Darat, Parit Raja, 83000, Batu Pahat, Johor",07-4544716,Batu Pahat
Johor,139,KD Parit Pandan,"KD Parit Pandan, Kampong Parit Pandan Sri Gading, 83000, Batu Pahat, Johor",07-4559427,Batu Pahat
Johor,140,KD Parit Payung,"KD Parit Payung, JKR 1028 Kg Parit Payung, 84000, Muar, Johor",06-9812945,Muar
Johor,141,KD Parit Pecah,"KD Parit Pecah, JKR 2660 Kg Parit Pecah, 84160, Muar, Johor",06-9882791,Muar
Johor,142,KD Parit Pinang Seribu,"KD Parit Pinang Seribu, JKR 1075, Kg Pt Pinang 1000 Drt. Jn Temenggung Ahmad, 84000, Muar, Johor",06-9872846,Muar
Johor,143,KD Parit Raja,"KD Parit Raja, Gersik, Ledang, 84700, Tangkak, Johor",06-9727378,Tangkak
Johor,144,KD Parit Rambai,"KD Parit Rambai, Jln Pt. Rambai Pontian, 82000, Pontian, Johor",07-6862606,Pontian
Johor,145,KD Parit Samsu Darat,"KD Parit Samsu Darat, JKR 1144 Kg. Pt. Samsu Jln Temenggung Ahmad, 84150, Muar, Johor",06-9872845,Muar
Johor,146,KD Parit Samsu Ulu,"KD Parit Samsu Ulu, JKR 1036, Kg Pt. Samsu Drt, 84000, Muar, Johor",06-9872851,Muar
Johor,147,KD Parit Sangit,"KD Parit Sangit, Kampung Parit Sangit, 83600, Batu Pahat, Johor",07-4163901,Batu Pahat
Johor,148,KD Parit Selangor,"KD Parit Selangor, Jln Pt. Selangor Pekan Nenas, Pontian, 81500, Pontian, Johor",07-6869930,Pontian
Johor,149,KD Parit Semarang,"KD Parit Semarang, Kg Parit Semarang, 83000, Batu Pahat, Johor",07-4544717,Batu Pahat
Johor,150,KD Parit Semerah,"KD Parit Semerah, Jln Pt. Semerah Pontian, 82000, Pontian, Johor",07-6862436,Pontian
Johor,151,KD Parit Sikom,"KD Parit Sikom, Jln Pt. Sikom Kayu Ara Pasong, Pontian, 82010, Pontian, Johor",07-6952231,Pontian
Johor,152,KD Parit Ulu Jamil,"KD Parit Ulu Jamil, JKR 1116 Jln Baru Pt. Jamil,Pt Jawa, 84150, Muar, Johor",06-9882509,Muar
Johor,153,KD Parit Warijo,"KD Parit Warijo, Kg. Parit Warijo, Sri Medan, 83000, Batu Pahat, Johor",07-4859985,Batu Pahat
Johor,154,KD Parit Yob,"KD Parit Yob, Pekan Parit Yaani, Yong Peng, 83300, Batu Pahat, Johor",07-4559344,Batu Pahat
Johor,155,KD Parit Zing,"KD Parit Zing, Serom 8, Sungai Mati, 84410, Tangkak, Johor",06-9764639,Tangkak
Johor,156,KD Pasak (Felda),"KD Pasak (Felda), Kota Tinggi, 81900, Kota Tinggi, Johor",07-8932951,Kota Tinggi
Johor,157,KD Pasir Gogok,"KD Pasir Gogok, Kg. Pasir Gogok, 81900, Kota Tinggi, Johor",07-8277033,Kota Tinggi
Johor,158,KD Pasir Putih,"KD Pasir Putih, JKR 4498, Kg Pasir Putih, Masai, Johor, 81750, Johor Bahru, Johor",07-2711902,Johor Bahru
Johor,159,KD Pasir Raja (Felda),"KD Pasir Raja (Felda), Felda Pasir Raja, 81900, Kota Tinggi, Johor",07-8978915,Kota Tinggi
Johor,160,KD Patah Pedang,"KD Patah Pedang, Kg Patah Pedang, 83030, Batu Pahat, Johor",07-4288940,Batu Pahat
Johor,161,KD Paya Kepong,"KD Paya Kepong, Tangkak, Ledang, 84900, Tangkak, Johor",06-9788526,Tangkak
Johor,162,KD Paya Pulai,"KD Paya Pulai, Kg, Paya Pulai, 85000, Segamat, Johor",07-9325752,Segamat
Johor,163,KD Paya Redan,"KD Paya Redan, JKR 1954, Jalan Pagoh Muar, 84600, Muar, Johor","06-9747810 / 
06-9747819",Muar
Johor,164,KD Pekan Jabi,"KD Pekan Jabi, Jalan Buluh Kasap, 85000 Segamat, Johor, 85000, Segamat, Johor",07-9325767,Segamat
Johor,165,KD Pengkalan Raja,"KD Pengkalan Raja, Bt 30 Pengkalan Raja Pekan Nanas, 81500, Pontian, Johor",07-6996670,Pontian
Johor,166,KD Permas,"KD Permas, Jln Permas Kukup, Pontian, 82030, Pontian, Johor",07-6961924,Pontian
Johor,167,KD Permas Jaya,"KD Permas Jaya, Johor Bahru, 80950, Johor Bahru, Johor",07-3868190,Johor Bahru
Johor,168,KD Permatang Duku,"KD Permatang Duku, Jln Permatang Duku Benut, Pontian, 82200, Pontian, Johor",07-4257581,Pontian
Johor,169,KD Perpat,"KD Perpat, Kg. Perpat, Rengit, 83100, Batu Pahat, Johor",07-4296452,Batu Pahat
Johor,170,KD Perpat Serkat,"KD Perpat Serkat, Jn Perpat Serkat Pontian, 82030, Pontian, Johor",07-6969581,Pontian
Johor,171,KD Peserai,"KD Peserai, Batu 4 1/2 Jalan Peserai, 83000, Batu Pahat, Johor",07-4130119,Batu Pahat
Johor,172,KD Petri Jaya,"KD Petri Jaya, Felda Petri Jaya, 81900, Kota Tinggi, Johor",07-8904290,Kota Tinggi
Johor,173,KD Plentong,"KD Plentong, JKR 6124, Jln Bunga Matahari, Plentong, Masai, 81750, Johor Bahru, Johor",07-3884072,Johor Bahru
Johor,174,KD Pulai Sebatang,"KD Pulai Sebatang, Jln Pt. Jawa Pulai Sebatang Api-Api Pontian, 82100, Pontian, Johor",07-6933719,Pontian
Johor,175,KD Pulau Aur,"KD Pulau Aur, Kg Teluk Sakinah, Pulau Aur, 86800, Mersing, Johor",017-7170008,Mersing
Johor,176,KD Pulau Pemanggil,"KD Pulau Pemanggil, Kg Baua, Pulau Pemanggil, 86800, Mersing, Johor",017-7170006,Mersing
Johor,177,KD Pulau Sibu,"KD Pulau Sibu, Mersing, 86800, Mersing, Johor",017-7170009,Mersing
Johor,178,KD Pulau Tinggi,"KD Pulau Tinggi, Tg Balang, 86800, Mersing, Johor",017-717007,Mersing
Johor,179,KD Punggai,"KD Punggai, Jalan Tersusun Punggai, 81900, Kota Tinggi, Johor",07-8264420,Kota Tinggi
Johor,180,KD Puteri Menangis,"KD Puteri Menangis, Jln Puteri Menangis, Mk Sg Pinggan Ayer Baloi, 82100, Pontian, Johor",07-6901252,Pontian
Johor,181,KD Rawang,"KD Rawang, 84400 Sungai Mati, Ledang, 84400, Tangkak, Johor",06-9756603,Tangkak
Johor,182,KD Rimba Terjun,"KD Rimba Terjun, Jn Rimba Terjun Pontian, 82000, Pontian, Johor",07-6879641,Pontian
Johor,183,KD Saleng,"KD Saleng, Batu 17 Jalan Air Hitam, 81400, Kulai, Johor",07-5982540,Kulai
Johor,184,KD Sanglang,"KD Sanglang, Jln Sanglang Ayer Baloi, Pontian, 82100, Pontian, Johor",07-6908131,Pontian
Johor,185,KD Sarang Buaya,"KD Sarang Buaya, JKR 1567, Kg. Sarang Buaya Jalan Batu Pahat Muar, 83500, Muar, Johor",07-4163843,Muar
Johor,186,KD Sawah Datok,"KD Sawah Datok, Jalan Endau, 86800, Mersing, Johor",07-7996533,Mersing
Johor,187,KD Sawah Ring,"KD Sawah Ring, Gersik, Ledang, 84700, Tangkak, Johor",06-9764645,Tangkak
Johor,188,KD Sedenak,"KD Sedenak, Btu 24 Lorong 4, 81010, Kulai, Johor",07-6526907,Kulai
Johor,189,KD Sejagong,"KD Sejagong, Sri Medang, Batu Pahat, 83000, Batu Pahat, Johor",07-4850335,Batu Pahat
Johor,190,KD Semanggar,"KD Semanggar, Kg Semanggar Dalam, 81900, Kota Tinggi, Johor",07-8899034,Kota Tinggi
Johor,191,KD Semenchu (Felda),"KD Semenchu (Felda), Felda Semenchu, 81900, Kota Tinggi, Johor",07-8952871,Kota Tinggi
Johor,192,KD Sengkang Batu 18,"KD Sengkang Batu 18, Bukit Gambir, Ledang, 84800, Tangkak, Johor",06-9764640,Tangkak
Johor,193,KD Sengkang Batu 20,"KD Sengkang Batu 20, Bukit Gambir, Ledang, 84800, Tangkak, Johor",06-9764643,Tangkak
