No,Hospital Name,Address,City,State,View Link,Telephone,Fax
88,Hospital Saratok,"KM 1, Jalan Saratok",Saratok,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/108,083-436311,083-436917
89,Hospital Sarikei,Jalan Rentap,Sarikei,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/109,084-653333,084-653409
90,Hospital Seberang Jaya,"Jln Tun Hussein Onn, Perai",Perai,Pulau Pinang,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/67,04-3827333,04-3970754
91,Hospital Segamat,"KM 6 Jalan Genuang,",Segamat,Johor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/11,07-9433333,07-9434641
92,Hospital Selama,Jalan Taiping,Selama,Perak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/59,05-8394233,05-8394204
93,Hospital Selayang,Lebuhraya Selayang-Kepong,Batu Caves,Selangor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/114,03-61203233,03-61377097
94,Hospital Semporna,Peti Surat 80,Semporna,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/87,089-781522,089-781659
95,Hospital Sentosa,"Batu 7, Jalan Penenrisen",Kuching,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/136,082-612321,082-610495
96,Hospital Serdang,Jalan Puchong,Kajang,Selangor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/123,03-89475555,03-89475050
97,Hospital Seri Manjung,Seri Manjung,Seri Manjung,Perak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/61,05-689 6600,05-688 4013
98,Hospital Serian,94700 Serian,Serian,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/110,082-874311,082-875182
99,Hospital Setiu,Bandar Permaisuri,Setiu,Terengganu,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/129,09-6090333,09-6090377
100,Hospital Shah Alam,"Hospital Shah Alam
Persiaran Kayangan, Seksyen 7
40000 Shah Alam
Selangor",Shah Alam,Selangor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/145,03-5526 3000,03-5526 3202
101,Hospital Sibu,"Batu 5 ½,  Jalan Ulu Oya",Sibu,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/111,084-343333,084-337354
102,Hospital Sik,08200 Sik,Sik,Kedah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/19,04-4695333,04-4695990
103,Hospital Simunjan,Jalan Gunung Ngeli,Simunjan,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/112,082-803984,082-803988
104,Hospital Sipitang,Peti Surat 250,Sipitang,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/88,087-822296,087-822304
105,Hospital Slim River,,Slim River,Perak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/49,05-4508000,05-4508001
106,Hospital Sri Aman,Jalan Hospital,Sri Aman,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/113,083-322151,083-323063
107,Hospital Sultan Abdul Halim,"Jalan Lencongan Timur Bandar Amanjaya, Sungai Petani",Sungai Petani,Kedah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/14,04-4457333,04-4480092
108,Hospital Sultan Hj Ahmad Shah,Jalan Maran,Temerloh,Pahang,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/48,09-2955333,09-2972468
109,Hospital Sultan Ismail,"Jalan Persiaran Mutiara Emas Utama, Taman Miount Austin",Johor Bahru,Johor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/3,07-3565000,07-3565088
110,Hospital Sultan Ismail Petra,"KM 6, Jalan Kuala Krai - Gua Musang",Kuala Krai,Kelantan,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/24,09-09611666,09-9666076
111,Hospital Sultanah Aminah,Johor Bahru,Johor Bahru,Johor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/2,07-2231666,07-2242694
112,Hospital Sultanah Bahiyah,"KM 6, Jln Langgar, Alor Setar",Alor Setar,Kedah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/13,04-7406233,04-7350233
113,Hospital Sultanah Hajjah Kalsom,"Tanah Rata,",Cameron Highlands,Pahang,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/40,05-4913333,05-4915453
114,Hospital Sultanah Nora Ismail,"Jalan Korma,83000 Batu Pahat",Batu Pahat,Johor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/1,07-4363000,07-4322544
115,Hospital Sultanah Nur Zahirah,"Jalan Sultan Mahmud, Kuala Terengganu",Kuala Terengganu,Terengganu,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/128,09-6212121,09-6221820/6221739
116,Hospital Sungai Bakap,"Sungai Jawi, Seberang Perai Selatan",Sungai Jawi,Pulau Pinang,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/65,04-5824333,04-5822494
117,Hospital Sungai Buloh,Jalan Hospital,Sungai Buluh,Selangor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/115,03-61454333,03-61454222
118,Hospital Sungai Siput,Jalan Felda Lasah,Sungai Siput,Perak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/58,05-5983333,05-5971834
119,Hospital Taiping,Jalan Taming Sari,Taiping,Perak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/60,05-8204000,05-8073894
120,Hospital Tambunan,Peti Surat 10,Tambunan,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/89,087-774333,087-774102
121,Hospital Tampin,"Jalan Haji Ahmad Zainuddin, Tampin",Tampin,Negeri Sembilan,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/38,06-4411511,06-4419610
122,Hospital Tanah Merah,17500 Tanah Merah,Tanah Merah,Kelantan,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/28,09-9545000,09-9557929
123,Hospital Tangkak,"Jalan Hospital,  Tangkak Muar",Tangkak,Johor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/7,06-9782792,06-9786521
124,Hospital Tanjung Karang,Tanjung Karang,Tanjung Karang,Selangor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/121,03-32698333,03-32695907
125,Hospital Tapah,Jalan Temoh,Tapah,Perak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/50,05-4011333,05-4012333
126,Hospital Tawau,Peti Surat 80,Tawau,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/90,089-773533,089-778626
127,Hospital Teluk Intan,Jalan Changkat Jong,Teluk Intan,Perak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/51,05-6213333,05-6212415
128,Hospital Temenggong Seri Maharaja Tun Ibrahim,"Hospital Temenggong Seri Maharaja Tun Ibrahim, 81000 Kulai",Kulaijaya,Johor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/6,07-6623333,07-6622605
129,Hospital Tengku Ampuan Afzan,Jalan Air Putih,Kuantan,Pahang,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/42,09-5133333,09-5142712
130,Hospital Tengku Ampuan Jemaah,45200 Sabak Bernam,Sabak Bernam,Selangor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/122,03-32163333,03-32164333
131,Hospital Tengku Ampuan Rahimah,"Jalan Langat,41200 Klang",Klang,Selangor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/119,03 3375 7000,03 23372 9089
132,Hospital Tengku Anis,Jalan Pasir Puteh,Pasir Puteh,Kelantan,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/27,09-7843333,09-7843444
133,Hospital Tenom,Peti surat 97,Tenom,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/91,087-735577,087-735550
134,Hospital Tuanku Ampuan Najihah,KM 3 Jalan Melang,Kuala Pilah,Negeri Sembilan,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/35,06-4818001,06-4818010
135,Hospital Tuanku Fauziah,"Jalan Kolam, 01000 Kangar",Kangar,Perlis,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/63,04-9738000,04-9767237
136,Hospital Tuanku Ja'afar Seremban,Jalan Rasah,Seremban,Negeri Sembilan,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/37,06-7623333,06-7625771
137,Hospital Tuaran,"Peti surat 996, 89207 Tuaran Sabah",Tuaran,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/92,088-788317,088-788167
138,Hospital Tumpat,Jalan Kelaburan,Tumpat,Kelantan,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/29,09-7263000,09-7257082
139,Hospital Tunku Azizah (Wanita Dan Kanak-Kanak),Jalan Raja Muda Abdul Aziz,W.P. Kuala Lumpur,W.P. Kuala Lumpur,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/149,,
140,Hospital Umum Sarawak,Jalan Hospital,Kuching,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/101,082-276666,
141,Hospital Wanita dan Kanak-Kanak Sabah,Karung Berkunci 187,Kota Kinabalu,Sabah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/77,088-522600,088-438512
142,Hospital Yan,Batu 25 Jalan Yan,Yan,Kedah,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/20,04-4655333,04-4655960
143,Institut Kanser Negara,"No 4, Jalan P7, Presint 7
62250 Putrajaya
W.P. Putrajaya",W.P. Putrajaya,W.P. Putrajaya,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/142,03-88925555,03-88925588
144,Institut Perubatan Respiratori,Jalan Pahang,W.P. Kuala Lumpur,W.P. Kuala Lumpur,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/138,03-40232966,03-40218807
145,Pusat Jantung Sarawak,"Jalan Expressway Kota Samarahan
94300 Samarahan
Sarawak",Samarahan,Sarawak,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/146,082-668111,082-668001
146,Pusat Kawalan Kusta Negara,Sungai Buluh,Sungai Buluh,Selangor,https://www.moh.gov.my/index.php/database_stores/store_view_page/82/137,03-61561321,03-61562470
